"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin","ext"
"1",130759,"col","",-2.97,51.07,"Somerset Fish and Saurian bed (Bath Museum collection)",NA,"",1,"Toarcian","",182.7,174.1,42278,"gp_mid",19,38.11,"315",1,178.4,"toarcian",1
"1831",5475,"col","Kingak Shale",-146.100006,69.599998,"Red Hill (USGS Mesozoic Loc. 23772)",NA,"",8,"Toarcian","",182.7,174.1,313,"gp_mid",-44.4,61.52,"103",1,178.4,"toarcian",1
"4625",25782,"col","",-1,40,"Barranco de la Canada C176",NA,"",19,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4626",25783,"col","",-1,40,"Barranco de la Canada C182",NA,"",6,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4627",25784,"col","",-1,40,"Barranco de la Canada C184",NA,"",22,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4630",25879,"col","",-1,40,"Barranco de la Canada C186",NA,"",19,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4631",25880,"col","",-1,40,"Barranco de la Canada C188",NA,"",16,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4632",25881,"col","",-1,40,"Barranco de la Canada C190",NA,"",11,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4633",25882,"col","",-1,40,"Barranco de la Canada C200",NA,"",11,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4634",25883,"col","",-1,40,"Barranco de la Canada C202",NA,"",17,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4636",25885,"col","",-1,40,"Barranco de la Canada C203",NA,"",13,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4637",25886,"col","",-1,40,"Barranco de la Canada C205",NA,"",12,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4638",25887,"col","",-1,40,"Barranco de la Canada C206",NA,"",8,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4639",25888,"col","",-1,40,"Barranco de la Canada C208",NA,"",9,"Middle Toarcian","",182,175.6,7068,"gp_mid",20.99,28.21,"304",1,178.8,"toarcian",1
"4675",25968,"col","",-8,40,"Maria Parès Z80",NA,"",4,"Middle Toarcian","",182,175.6,7068,"gp_mid",15.38,30.4,"304",1,178.8,"toarcian",1
"5741",31839,"col","",-0.216667,46.983334,"Echinodermata, Marls of the Variabilis zone, Thouars",NA,"",18,"Middle Toarcian","",182,175.6,8552,"gp_mid",22.01,35.01,"305",1,178.8,"toarcian",1
"5753",31988,"col","",11.15,51.799999,"Toarcian, Quedlinburg, Germany",NA,"",16,"Late Toarcian","",180.1,175.6,8568,"gp_mid",29.76,41.14,"315",1,177.85,"toarcian",1
